player_name,opponent_team,matches_bat,runs,balls_bat,fours,sixes,dismissals,strike_rate,avg_bat,matches_bowl,balls_bowl,runs_conceded,wickets,economy,avg_bowl
Harmeet Singh,Nepal,2.0,12.0,5.0,0.0,1.0,5.0,240.0,2.4,2.0,19.0,24.0,19.0,7.58,1.26
Harmeet Singh,Netherlands,1.0,2.0,3.0,0.0,0.0,3.0,66.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0
Harmeet Singh,Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,5.0,4.8,0.8
Harmeet Singh,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,36.0,23.0,9.39,1.57
Hasan Ali,Bangladesh,1.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,4.0,76.0,108.0,76.0,8.53,1.42
Hasan Ali,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0
Hasan Mahmud,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,3.0,20.0,3.33
Hasan Mahmud,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.5
Hasan Mahmud,Pakistan,2.0,17.0,21.0,0.0,1.0,21.0,80.95,0.81,5.0,93.0,147.0,93.0,9.48,1.58
Hasan Mahmud,United States of America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,11.0,7.09,1.18
Hasan Mahmud,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,13.0,12.0,6.5,1.08
Hussain Talat,Bangladesh,2.0,4.0,11.0,0.0,0.0,11.0,36.36,0.36,1.0,20.0,36.0,20.0,10.8,1.8
Hussain Talat,India,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hussain Talat,Scotland,1.0,7.0,3.0,1.0,0.0,3.0,233.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0
Irfan Khan,Zimbabwe,1.0,4.0,4.0,0.0,0.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishan Kishan,New Zealand,3.0,29.0,22.0,6.0,0.0,22.0,131.82,1.32,0.0,0.0,0.0,0.0,0.0,0.0
JJ Smit,Canada,1.0,13.0,6.0,1.0,1.0,6.0,216.67,2.17,2.0,4.0,4.0,4.0,6.0,1.0
JJ Smit,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,6.0,10.0,1.67
JJ Smit,Nepal,1.0,43.0,20.0,5.0,2.0,20.0,215.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0
JJ Smit,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,15.0,2.5
JJ Smit,New Zealand,1.0,4.0,8.0,1.0,0.0,8.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
JJ Smit,Oman,2.0,31.0,20.0,3.0,1.0,20.0,155.0,1.55,1.0,17.0,11.0,17.0,3.88,0.65
JJ Smit,Pakistan,1.0,2.0,5.0,0.0,0.0,5.0,40.0,0.4,1.0,18.0,39.0,18.0,13.0,2.17
JJ Smit,Scotland,1.0,1.0,5.0,0.0,0.0,5.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
JJ Smit,Uganda,6.0,28.0,24.0,2.0,1.0,24.0,116.67,1.17,2.0,3.0,2.0,3.0,4.0,0.67
JJ Smit,United States of America,2.0,8.0,4.0,0.0,1.0,4.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Smit,Zimbabwe,4.0,22.0,10.0,0.0,3.0,10.0,220.0,2.2,6.0,31.0,39.0,31.0,7.55,1.26
JP Kotze,Canada,3.0,21.0,15.0,3.0,1.0,15.0,140.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
JP Kotze,Nepal,1.0,16.0,13.0,3.0,0.0,13.0,123.08,1.23,0.0,0.0,0.0,0.0,0.0,0.0
